-10.00	0.9873	493
-9.99	0.9872	492
-9.98	0.9872	492
-9.97	0.9872	492
-9.96	0.9872	492
-9.95	0.9871	491
-9.94	0.9871	491
-9.93	0.9871	491
-9.92	0.9871	491
-9.91	0.9871	490
-9.90	0.9870	490
-9.89	0.9870	490
-9.88	0.9870	490
-9.87	0.9870	489
-9.86	0.9870	489
-9.85	0.9870	489
-9.84	0.9869	489
-9.83	0.9869	488
-9.82	0.9869	488
-9.81	0.9868	488
-9.80	0.9868	488
-9.79	0.9868	487
-9.78	0.9868	487
-9.77	0.9868	487
-9.76	0.9868	486
-9.75	0.9867	486
-9.74	0.9867	486
-9.73	0.9866	486
-9.72	0.9866	485
-9.71	0.9865	485
-9.70	0.9865	485
-9.69	0.9864	485
-9.68	0.9864	484
-9.67	0.9864	484
-9.66	0.9863	484
-9.65	0.9863	484
-9.64	0.9863	483
-9.63	0.9863	483
-9.62	0.9863	483
-9.61	0.9862	483
-9.60	0.9862	482
-9.59	0.9862	482
-9.58	0.9862	482
-9.57	0.9861	481
-9.56	0.9861	481
-9.55	0.9861	481
-9.54	0.9860	481
-9.53	0.9860	480
-9.52	0.9860	480
-9.51	0.9859	480
-9.50	0.9859	480
-9.49	0.9859	479
-9.48	0.9859	479
-9.47	0.9858	479
-9.46	0.9858	478
-9.45	0.9858	478
-9.44	0.9858	478
-9.43	0.9857	478
-9.42	0.9857	477
-9.41	0.9857	477
-9.40	0.9856	477
-9.39	0.9856	477
-9.38	0.9856	476
-9.37	0.9855	476
-9.36	0.9855	476
-9.35	0.9854	475
-9.34	0.9854	475
-9.33	0.9854	475
-9.32	0.9854	475
-9.31	0.9853	474
-9.30	0.9853	474
-9.29	0.9852	474
-9.28	0.9852	474
-9.27	0.9852	473
-9.26	0.9852	473
-9.25	0.9851	473
-9.24	0.9851	472
-9.23	0.9851	472
-9.22	0.9850	472
-9.21	0.9850	472
-9.20	0.9850	471
-9.19	0.9849	471
-9.18	0.9849	471
-9.17	0.9848	470
-9.16	0.9848	470
-9.15	0.9847	470
-9.14	0.9847	470
-9.13	0.9847	469
-9.12	0.9847	469
-9.11	0.9846	469
-9.10	0.9846	469
-9.09	0.9846	468
-9.08	0.9846	468
-9.07	0.9845	468
-9.06	0.9845	467
-9.05	0.9845	467
-9.04	0.9844	467
-9.03	0.9844	467
-9.02	0.9844	466
-9.01	0.9843	466
-9.00	0.9843	466
-8.99	0.9842	465
-8.98	0.9842	465
-8.97	0.9841	465
-8.96	0.9841	465
-8.95	0.9841	464
-8.94	0.9840	464
-8.93	0.9840	464
-8.92	0.9839	463
-8.91	0.9839	463
-8.90	0.9839	463
-8.89	0.9838	463
-8.88	0.9837	462
-8.87	0.9837	462
-8.86	0.9837	462
-8.85	0.9836	461
-8.84	0.9836	461
-8.83	0.9836	461
-8.82	0.9836	460
-8.81	0.9835	460
-8.80	0.9834	460
-8.79	0.9834	460
-8.78	0.9834	459
-8.77	0.9833	459
-8.76	0.9833	459
-8.75	0.9833	458
-8.74	0.9832	458
-8.73	0.9832	458
-8.72	0.9831	458
-8.71	0.9831	457
-8.70	0.9830	457
-8.69	0.9830	457
-8.68	0.9829	456
-8.67	0.9829	456
-8.66	0.9829	456
-8.65	0.9828	455
-8.64	0.9828	455
-8.63	0.9828	455
-8.62	0.9827	455
-8.61	0.9827	454
-8.60	0.9826	454
-8.59	0.9826	454
-8.58	0.9826	453
-8.57	0.9825	453
-8.56	0.9825	453
-8.55	0.9824	452
-8.54	0.9824	452
-8.53	0.9823	452
-8.52	0.9823	452
-8.51	0.9822	451
-8.50	0.9822	451
-8.49	0.9821	451
