flowcell	kit	preset_model	ont_model
FLO-FLG001	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-LSK110-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-LWP001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCS108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAD002	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAD003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAD004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAS201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RLI001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-ULK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VSK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VSK003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-16S024	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RBK110-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RLB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-LWB001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-PBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAB201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RAB204	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	SQK-RPB004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-PTC001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VMK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VPS001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-FLG001	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-CS9109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-DCS108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LRK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK110-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-LWP001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCS108	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAD002	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAD003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAD004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RAS201	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RLI001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-ULK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VSK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VSK003	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-16S024	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RBK001	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-MIN106	SQK-RBK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
