flowcell	kit	preset_model	ont_model
FLO-MINSP6	SQK-RNA001	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MINSP6	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN107	SQK-RNA001	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN107	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN107	SQK-DCS108	_	dna_r9.5_450bps
FLO-MIN107	SQK-DCS109	_	dna_r9.5_450bps
FLO-MIN107	SQK-LRK001	_	dna_r9.5_450bps
FLO-MIN107	SQK-LSK108	_	dna_r9.5_450bps
FLO-MIN107	SQK-LSK109	_	dna_r9.5_450bps
FLO-MIN107	SQK-LSK308	_	dna_r9.5_450bps
FLO-MIN107	SQK-LSK309	_	dna_r9.5_450bps
FLO-MIN107	SQK-LSK319	_	dna_r9.5_450bps
FLO-MIN107	SQK-LWP001	_	dna_r9.5_450bps
FLO-MIN107	SQK-PCS108	_	dna_r9.5_450bps
FLO-MIN107	SQK-PCS109	_	dna_r9.5_450bps
FLO-MIN107	SQK-PSK004	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAD002	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAD003	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAD004	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAS201	_	dna_r9.5_450bps
FLO-MIN107	SQK-RLI001	_	dna_r9.5_450bps
FLO-MIN107	VSK-VBK001	_	dna_r9.5_450bps
FLO-MIN107	VSK-VSK001	_	dna_r9.5_450bps
FLO-MIN107	SQK-LWB001	_	dna_r9.5_450bps
FLO-MIN107	SQK-PBK004	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAB201	_	dna_r9.5_450bps
FLO-MIN107	SQK-RAB204	_	dna_r9.5_450bps
FLO-MIN107	SQK-RBK001	_	dna_r9.5_450bps
FLO-MIN107	SQK-RBK004	_	dna_r9.5_450bps
FLO-MIN107	SQK-RLB001	_	dna_r9.5_450bps
FLO-MIN107	SQK-RPB004	_	dna_r9.5_450bps
FLO-MIN107	VSK-VMK001	_	dna_r9.5_450bps
FLO-PRO001	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-PRO002	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-PRO002-ECO	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-PRO002M	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN110	SQK-CS9109	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-DCS108	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-DCS109	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LRK001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LSK108	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LSK109	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LSK109-XL	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LSK110	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LSK110-XL	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LWP001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PCS108	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PCS109	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PSK004	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAD002	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAD003	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAD004	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAS201	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RLI001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	VSK-VBK001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	VSK-VSK001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-16S024	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PCB109	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PCB110	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RBK001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RBK004	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RLB001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-LWB001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-PBK004	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAB201	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RAB204	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	SQK-RPB004	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-MIN110	VSK-VMK001	dna_r10.4.1_400bps_9mer	dna_r10_450bps
FLO-PRO114	SQK-LSK114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-LSK114-XL	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-ULK114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-RAD114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-NBD114-24	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-NBD114-96	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-RBK114-24	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114	SQK-RBK114-96	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-LSK114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-LSK114-XL	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-ULK114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-RAD114	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-NBD114-24	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-NBD114-96	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-RBK114-24	_	dna_r10.4.1_e8.2_260bps
FLO-PRO114M	SQK-RBK114-96	_	dna_r10.4.1_e8.2_260bps
FLO-PRO001	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO001	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002-ECO	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-LSK109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-LSK109-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-LSK110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-LSK111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-LSK111-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-DCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-PCS109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-PCS111	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	VSK-VSK004	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-MLK111-96-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-NBD111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-NBD111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-PCB109	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-PCB110	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-PCB111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-RBK111-24	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	SQK-RBK111-96	dna_r9.4_400bps_5mer	dna_r9.4.1_450bps
FLO-PRO002M	VSK-VMK004	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-LSK112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-LSK112-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-RAD112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-NBD112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-NBD112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-RBK112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
FLO-MIN106	SQK-RBK112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1
